(128, 4, 50)
Tensor("sigmoid/Wx_plus_b/Tensordot:0", shape=(128, 4, 2), dtype=float32)
step 2581, training accuracy -6.07967e-05
step 2591, training accuracy -6.12736e-05
step 2601, training accuracy -6.13928e-05
step 2611, training accuracy -6.09159e-05
step 2621, training accuracy -6.1512e-05
step 2631, training accuracy -6.13928e-05
step 2641, training accuracy -6.10352e-05
step 2651, training accuracy -6.19888e-05
step 2661, training accuracy -6.18696e-05
step 2671, training accuracy -6.1512e-05
step 2681, training accuracy -6.22272e-05
step 2691, training accuracy -6.2108e-05
step 2701, training accuracy -6.16312e-05
step 2711, training accuracy -6.22272e-05
step 2721, training accuracy -6.2108e-05
step 2731, training accuracy -6.18696e-05
step 2741, training accuracy -6.22272e-05
step 2751, training accuracy -6.22272e-05
step 2761, training accuracy -6.22272e-05
step 2771, training accuracy -6.2108e-05
step 2781, training accuracy -6.19888e-05
step 2791, training accuracy -6.23465e-05
step 2801, training accuracy -6.22272e-05
step 2811, training accuracy -6.22272e-05
step 2821, training accuracy -6.22272e-05
step 2831, training accuracy -6.19888e-05
step 2841, training accuracy -6.19888e-05
step 2851, training accuracy -6.19888e-05
step 2861, training accuracy -6.19888e-05
step 2871, training accuracy -6.2108e-05
step 2881, training accuracy -6.23465e-05
step 2891, training accuracy -6.23465e-05
step 2901, training accuracy -6.22272e-05
step 2911, training accuracy -6.22272e-05
step 2921, training accuracy -6.23465e-05
step 2931, training accuracy -6.22272e-05
step 2941, training accuracy -6.23465e-05
step 2951, training accuracy -6.23465e-05
step 2961, training accuracy -6.23465e-05
step 2971, training accuracy -6.22272e-05
step 2981, training accuracy -6.22272e-05
step 2991, training accuracy -6.23465e-05
step 3001, training accuracy -6.23465e-05
step 3011, training accuracy -6.23465e-05
step 3021, training accuracy -6.23465e-05
step 3031, training accuracy -6.23465e-05
step 3041, training accuracy -6.23465e-05
step 3051, training accuracy -6.25849e-05
step 3061, training accuracy -6.23465e-05
step 3071, training accuracy -6.25849e-05
step 3081, training accuracy -6.23465e-05
step 3091, training accuracy -6.23465e-05
step 3101, training accuracy -6.23465e-05
step 3111, training accuracy -6.24657e-05
step 3121, training accuracy -6.23465e-05
step 3131, training accuracy -6.25849e-05
step 3141, training accuracy -6.28233e-05
step 3151, training accuracy -6.27041e-05
step 3161, training accuracy -6.29425e-05
step 3171, training accuracy -6.29425e-05
step 3181, training accuracy -6.29425e-05
step 3191, training accuracy -6.29425e-05
step 3201, training accuracy -6.28233e-05
step 3211, training accuracy -6.31809e-05
step 3221, training accuracy -6.27041e-05
step 3231, training accuracy -6.28233e-05
step 3241, training accuracy -6.30617e-05
step 3251, training accuracy -6.29425e-05
step 3261, training accuracy -6.30617e-05
step 3271, training accuracy -6.28233e-05
step 3281, training accuracy -6.30617e-05
step 3291, training accuracy -6.31809e-05
step 3301, training accuracy -6.31809e-05
step 3311, training accuracy -6.31809e-05
step 3321, training accuracy -6.31809e-05
step 3331, training accuracy -6.31809e-05
step 3341, training accuracy -6.29425e-05
step 3351, training accuracy -6.31809e-05
step 3361, training accuracy -6.31809e-05
step 3371, training accuracy -6.31809e-05
step 3381, training accuracy -6.28233e-05
step 3391, training accuracy -6.30617e-05
step 3401, training accuracy -6.31809e-05
step 3411, training accuracy -6.30617e-05
step 3421, training accuracy -6.30617e-05
step 3431, training accuracy -6.31809e-05
step 3441, training accuracy -6.31809e-05
step 3451, training accuracy -6.30617e-05
step 3461, training accuracy -6.31809e-05
step 3471, training accuracy -6.31809e-05
step 3481, training accuracy -6.31809e-05
step 3491, training accuracy -6.31809e-05
step 3501, training accuracy -6.31809e-05
step 3511, training accuracy -6.30617e-05
step 3521, training accuracy -6.31809e-05
step 3531, training accuracy -6.31809e-05
step 3541, training accuracy -6.31809e-05
step 3551, training accuracy -6.28233e-05
step 3561, training accuracy -6.30617e-05
step 3571, training accuracy -6.31809e-05
step 3581, training accuracy -6.31809e-05
step 3591, training accuracy -6.30617e-05
step 3601, training accuracy -6.31809e-05
step 3611, training accuracy -6.30617e-05
step 3621, training accuracy -6.31809e-05
step 3631, training accuracy -6.31809e-05
step 3641, training accuracy -6.31809e-05
step 3651, training accuracy -6.31809e-05
step 3661, training accuracy -6.31809e-05
step 3671, training accuracy -6.31809e-05
step 3681, training accuracy -6.31809e-05
step 3691, training accuracy -6.31809e-05
step 3701, training accuracy -6.31809e-05
step 3711, training accuracy -6.31809e-05
step 3721, training accuracy -6.31809e-05
step 3731, training accuracy -6.31809e-05
step 3741, training accuracy -6.27041e-05
step 3751, training accuracy -6.29425e-05
step 3761, training accuracy -6.31809e-05
step 3771, training accuracy -6.31809e-05
